X,Y,p,Freq.X,Freq.Y,Freq.X.or.Y,GB2.Freq.X,GB2.Freq.Y,GB2.Freq.X.or.Y
cheap,free,100,1.04E+09,1.15E+10,15800000,3378019,48979456,2608
sometimes,always,100,7.15E+08,2.23E+09,432000,33281574,76485586,1098
some,all,96,4.93E+09,1.97E+10,316000000,262251235,484526029,338185
possible,certain,92,1.62E+09,7.78E+08,2770000,66341627,55214851,198
may,have to,87,8.17E+09,1.59E+09,494000000,291372153,48814452,0
difficult,impossible,79,5.21E+08,3.16E+08,34100000,33835961,15136135,141104
rare,extinct,79,5.59E+08,2.10E+07,774000,9303793,917848,963
few,none,75,1.87E+09,1.04E+09,3710000,83028599,15433681,23408
may,will,75,8.17E+09,8.84E+09,492000000,291372153,391034157,2409
warm,hot,75,5.49E+08,3.92E+09,6320000,12038666,16596302,7843
hard,unsolvable,71,2.25E+09,1190000,22800,38179615,59929,0
low,depleted,71,2.19E+09,16700000,1040000,45985121,797275,186
allowed,obligatory,67,5.90E+08,16900000,96400,20239254,684400,0
scarce,unavailable,62,33500000,2.22E+08,475000,2220019,912954,693
try,succeed,62,3.19E+09,1.17E+08,309000,26086035,4256303,102
palatable,delicious,58,6180000,7.04E+08,4200,308162,1785671,0
like,love,50,9.38E+09,5.16E+09,389000,210660082,57987865,1849
memorable,unforgettable,50,94900000,58500000,142000,1451883,328148,0
good,excellent,46,5.24E+09,1.38E+09,12100000,129403370,11120820,13267
good,perfect,37,5.24E+09,1.65E+09,1230000,129403370,14424549,748
cool,cold,33,1.70E+09,7.00E+08,2260000,7529220,20440878,4788
hungry,starving,33,2.07E+08,26800000,470000,3875630,913888,223
adequate,good,29,1.21E+08,5.24E+09,1520000,9546392,129403370,403
dislike,loathe,29,1.18E+09,6210000,45400,1520718,182838,0
unsettling,horrific,29,7110000,22800000,1160,406642,287956,0
believe,know,21,1.03E+09,4.01E+09,749000,39032742,136679129,1178
participate,win,21,3.06E+08,1.23E+09,2500000,6024060,8209081,0
start,finish,21,3.69E+09,6.01E+08,3440000,24160120,5757307,4620
wary,scared,21,25400000,1.33E+08,26000,989453,2901149,0
big,enormous,17,3.91E+09,6.26E+08,65400,29510029,6310131,0
old,ancient,17,3.87E+09,3.30E+08,3800000,91443998,14332917,485
snug,tight,12,27100000,4.45E+08,278000,351499,5712862,40
attractive,stunning,8,2.79E+08,3.29E+08,28500,6138360,883244,0
intelligent,brilliant,8,2.03E+08,2.55E+08,90700,4225149,4545667,33
pretty,beautiful,8,1.22E+09,1.82E+09,594000,13094369,17525884,456
special,unique,8,2.93E+09,1.23E+09,213000,38115016,12330003,4090
content,happy,4,4.80E+09,2.01E+09,5960000,19988938,15835380,302
dark,black,4,1.27E+09,4.71E+09,197000,24474981,45327978,4315
funny,hilarious,4,1.03E+09,1.13E+08,7960,3677099,302811,0
silly,ridiculous,4,1.47E+08,87700000,2010000,2323672,2110101,328
small,tiny,4,4.81E+09,4.59E+08,445000,86543830,7202118,405
tired,exhausted,4,2.50E+08,44500000,4280000,6741461,3247763,553
ugly,hideous,4,1.76E+08,12200000,124000,2687511,831263,30
