workerid,Answer.language,player1color,player2color,player3color,sentence,condition,conditionOrder,trialnum,response,rt,trainingCorrect
301,English,wheat,grey,lightblue,Every player hit none of his shots,all-all-all,all-all-all,24,F,5610,NA
301,English,pink,darkorange,lightblue,All the players are tied,half-all-all,all-all-half,25,F,7675,NA
301,English,tan,lightorange,darkorange,Exactly one player hit some of his shots,none-none-all,none-all-none,26,T,7636,NA
301,English,royalblue,tan,wheat,Exactly one player hit none of his shots,half-half-half,half-half-half,27,F,3601,NA
301,English,tan,lightorange,lightblue,Player B made no shots,none-half-half,half-half-none,20,F,3600,NA
301,English,royalblue,lightorange,grey,Player C made no shots,none-half-all,none-all-half,21,F,3499,NA
301,English,darkorange,purple,yellow,Someone did better than Player C,half-half-all,half-half-all,22,F,6331,NA
301,English,pink,midnight,seafoam,Player A placed second,half-all-all,all-all-half,23,F,4933,NA
301,English,lightblue,grey,wheat,We have a clear loser,none-none-all,none-none-all,28,F,5001,NA
301,English,brown,lightorange,midnight,Player C placed second,none-all-all,all-none-all,1,F,21216,NA
301,English,darkorange,pink,lavender,Player B placed second,none-none-all,none-all-none,0,F,28861,NA
301,English,lightblue,yellow,lightorange,No player hit some of his shots,all-all-all,all-all-all,3,F,14779,NA
301,English,seafoam,grey,lightorange,Player A tied with Player C,none-all-all,all-all-none,2,F,7081,NA
301,English,grey,wheat,darkorange,Player B shot perfectly,half-all-all,all-all-half,5,T,5196,NA
301,English,wheat,yellow,grey,Every player hit all of his shots,half-all-all,all-half-all,4,F,5187,NA
301,English,pink,seafoam,tan,No player hit all of his shots,none-none-half,half-none-none,7,T,7075,NA
301,English,wheat,royalblue,purple,Player C shot perfectly,none-all-all,none-all-all,6,T,5144,NA
301,English,darkorange,lightblue,grey,No player hit none of his shots,none-half-half,none-half-half,9,F,9215,NA
301,English,grey,lightblue,midnight,Player B tied with Player C,half-half-half,half-half-half,8,T,7496,NA
301,English,brown,royalblue,lavender,Exactly one player hit all of his shots,none-none-half,half-none-none,11,F,9511,NA
301,English,lavender,tan,yellow,Player A tied with Player B,none-none-half,none-none-half,10,T,6530,NA
301,English,darkorange,wheat,royalblue,Every player hit some of his shots,none-half-half,half-half-none,13,F,4553,NA
301,English,tan,lightorange,purple,Someone did better than Player A,none-none-half,none-none-half,12,T,8969,NA
301,English,darkorange,purple,brown,We have a clear winner,none-none-none,none-none-none,15,F,4166,NA
301,English,midnight,royalblue,purple,Someone did better than Player B,all-all-all,all-all-all,14,F,7086,NA
301,English,purple,grey,yellow,Player A shot perfectly,none-half-half,half-none-half,17,F,5227,NA
301,English,wheat,royalblue,lavender,Player A made no shots,none-all-all,all-all-none,16,F,4847,NA
301,English,purple,darkorange,tan,Most of the players missed shots,all-all-all,all-all-all,19,F,4227,NA
301,English,pink,darkorange,royalblue,Most of the players made shots,none-none-none,none-none-none,18,F,5875,NA
301,English,brown,seafoam,lightorange,Player A was the star player of the round,most-none-all,most-none-all,-1,F,9903,yes
301,English,midnight,wheat,tan,Player A made none of his baskets,all-none-few,all-none-few,-3,F,17429,yes
301,English,lightblue,lavender,midnight,Player C messed up,all-all-none,all-all-none,-2,T,9146,yes
302,english,grey,lightblue,yellow,Player C shot perfectly,none-none-none,none-none-none,24,F,4362,NA
302,english,royalblue,wheat,pink,Player A tied with Player C,all-all-all,all-all-all,25,T,7823,NA
302,english,midnight,pink,brown,Exactly one player hit all of his shots,none-half-all,half-none-all,26,T,7749,NA
302,english,tan,yellow,lavender,Someone did better than Player A,half-half-all,half-all-half,27,T,7000,NA
302,english,midnight,wheat,lavender,Exactly one player hit none of his shots,none-half-all,all-none-half,20,F,12057,NA
302,english,grey,royalblue,darkorange,Someone did better than Player B,none-none-half,none-none-half,21,T,6346,NA
302,english,midnight,lavender,royalblue,Most of the players missed shots,half-half-all,half-half-all,22,T,9258,NA
302,english,lightorange,darkorange,lightblue,Someone did better than Player C,none-none-half,half-none-none,23,T,5613,NA
302,english,darkorange,lightorange,grey,Every player hit none of his shots,half-half-half,half-half-half,28,F,4908,NA
302,english,darkorange,tan,lightblue,Player B placed second,all-all-all,all-all-all,1,F,13625,NA
302,english,grey,tan,lavender,Every player hit some of his shots,none-none-all,none-all-none,0,F,11718,NA
302,english,pink,wheat,royalblue,No player hit none of his shots,none-all-all,all-all-none,3,F,36525,NA
302,english,pink,grey,tan,No player hit all of his shots,half-half-half,half-half-half,2,T,9392,NA
302,english,brown,yellow,purple,Player A tied with Player B,none-none-half,half-none-none,5,F,8829,NA
302,english,lightorange,darkorange,pink,Player A placed second,half-half-half,half-half-half,4,F,11074,NA
302,english,lightorange,lightblue,seafoam,Player C placed second,none-none-none,none-none-none,7,F,14142,NA
302,english,lavender,pink,royalblue,Player B made no shots,all-all-all,all-all-all,6,F,10570,NA
302,english,lavender,tan,royalblue,No player hit some of his shots,half-half-half,half-half-half,9,F,8920,NA
302,english,tan,purple,royalblue,We have a clear loser,none-half-all,all-half-none,8,T,9360,NA
302,english,wheat,royalblue,lightblue,Player C made no shots,all-all-all,all-all-all,11,F,7689,NA
302,english,lightorange,lightblue,brown,Most of the players made shots,none-half-all,none-all-half,10,T,8473,NA
302,english,darkorange,grey,brown,Player A shot perfectly,none-half-half,half-half-none,13,F,5190,NA
302,english,wheat,lightblue,pink,Every player hit all of his shots,none-none-all,all-none-none,12,F,6284,NA
302,english,purple,seafoam,darkorange,Player A made no shots,all-all-all,all-all-all,15,F,4889,NA
302,english,lightorange,yellow,royalblue,All the players are tied,none-half-all,all-half-none,14,F,6906,NA
302,english,brown,lightorange,royalblue,Exactly one player hit some of his shots,half-half-half,half-half-half,17,F,5493,NA
302,english,lightorange,darkorange,lavender,Player B tied with Player C,none-none-half,none-half-none,16,F,5218,NA
302,english,wheat,tan,lightorange,We have a clear winner,none-half-half,none-half-half,19,F,8274,NA
302,english,lightorange,royalblue,brown,Player B shot perfectly,none-none-half,none-none-half,18,F,7761,NA
302,english,yellow,midnight,royalblue,Player A was the star player of the round,most-none-all,most-none-all,-1,F,13767,yes
302,english,tan,midnight,darkorange,Player A made none of his baskets,all-none-few,all-none-few,-3,F,36236,no
302,english,lightorange,darkorange,grey,Player C messed up,all-all-none,all-all-none,-2,T,11657,yes
303,English,tan,lightblue,lavender,Player B made no shots,none-all-all,none-all-all,24,F,2652,NA
303,English,tan,royalblue,brown,Player B tied with Player C,none-none-none,none-none-none,25,T,2332,NA
303,English,royalblue,yellow,pink,Player C made no shots,none-none-none,none-none-none,26,T,3200,NA
303,English,grey,pink,midnight,Exactly one player hit all of his shots,none-all-all,all-none-all,27,F,3968,NA
303,English,wheat,lightorange,tan,Player C placed second,none-half-all,all-half-none,20,F,4676,NA
303,English,lavender,royalblue,wheat,We have a clear loser,none-none-half,half-none-none,21,F,2917,NA
303,English,wheat,royalblue,brown,Someone did better than Player C,none-half-half,half-none-half,22,F,5434,NA
303,English,brown,wheat,darkorange,Every player hit none of his shots,none-all-all,all-all-none,23,F,3365,NA
303,English,lightblue,darkorange,lightorange,Exactly one player hit none of his shots,none-none-half,none-none-half,28,F,2448,NA
303,English,midnight,darkorange,grey,Player B shot perfectly,none-half-half,half-none-half,1,F,3020,NA
303,English,grey,lavender,wheat,Player A made no shots,none-half-half,none-half-half,0,T,4255,NA
303,English,seafoam,lightblue,darkorange,No player hit some of his shots,none-half-all,half-all-none,3,F,3000,NA
303,English,darkorange,lavender,lightorange,Exactly one player hit some of his shots,half-all-all,half-all-all,2,F,3916,NA
303,English,tan,royalblue,yellow,Every player hit some of his shots,none-none-none,none-none-none,5,F,2667,NA
303,English,seafoam,lightblue,tan,No player hit all of his shots,none-none-none,none-none-none,4,T,2198,NA
303,English,seafoam,tan,purple,Player C shot perfectly,none-none-all,none-all-none,7,F,2783,NA
303,English,pink,royalblue,lightorange,Most of the players missed shots,none-half-all,half-none-all,6,T,5369,NA
303,English,yellow,brown,seafoam,We have a clear winner,all-all-all,all-all-all,9,F,2428,NA
303,English,lavender,tan,midnight,Player A tied with Player C,none-half-half,half-half-none,8,F,2852,NA
303,English,wheat,yellow,darkorange,No player hit none of his shots,none-none-half,none-half-none,11,F,3249,NA
303,English,royalblue,lavender,lightblue,Player A placed second,none-none-half,none-none-half,10,F,5302,NA
303,English,lavender,brown,purple,Someone did better than Player A,none-none-half,half-none-none,13,F,3470,NA
303,English,lavender,tan,pink,Player A shot perfectly,none-all-all,all-none-all,12,T,2165,NA
303,English,royalblue,midnight,lightorange,Player B placed second,none-half-all,half-none-all,15,F,3516,NA
303,English,midnight,wheat,pink,Most of the players made shots,none-all-all,all-all-none,14,T,4147,NA
303,English,yellow,lightblue,royalblue,All the players are tied,none-half-half,half-half-none,17,F,3181,NA
303,English,royalblue,grey,tan,Someone did better than Player B,none-half-half,none-half-half,16,F,4287,NA
303,English,purple,wheat,pink,Player A tied with Player B,half-half-half,half-half-half,19,T,3456,NA
303,English,lavender,yellow,royalblue,Every player hit all of his shots,none-half-all,half-none-all,18,F,4151,NA
303,English,seafoam,grey,yellow,Player A was the star player of the round,most-none-all,most-none-all,-1,F,6398,yes
303,English,purple,lavender,darkorange,Player A made none of his baskets,all-none-few,all-none-few,-3,F,10394,yes
303,English,midnight,yellow,pink,Player C messed up,all-all-none,all-all-none,-2,T,5715,yes
304,English,grey,pink,purple,Player A placed second,all-all-all,all-all-all,24,F,2602,NA
304,English,midnight,lightblue,seafoam,Player C placed second,none-all-all,all-none-all,25,F,2508,NA
304,English,lavender,darkorange,grey,All the players are tied,none-half-half,half-none-half,26,F,2065,NA
304,English,grey,midnight,lightblue,Most of the players made shots,none-none-all,none-all-none,27,F,3344,NA
304,English,lavender,wheat,purple,No player hit none of his shots,half-half-all,half-all-half,20,T,5142,NA
304,English,darkorange,pink,lightblue,Player A tied with Player C,none-none-half,none-none-half,21,F,2941,NA
304,English,lavender,seafoam,pink,Player B shot perfectly,none-none-all,none-none-all,22,F,2514,NA
304,English,seafoam,lightorange,tan,Every player hit all of his shots,none-none-half,none-none-half,23,F,1849,NA
304,English,grey,yellow,seafoam,Player B made no shots,all-all-all,all-all-all,28,F,1897,NA
304,English,grey,pink,lightorange,Player C made no shots,none-none-all,none-none-all,1,F,3972,NA
304,English,royalblue,purple,grey,Someone did better than Player C,half-half-all,half-half-all,0,F,4470,NA
304,English,tan,lightblue,lightorange,Someone did better than Player A,none-half-all,half-none-all,3,T,2500,NA
304,English,grey,yellow,lavender,Player A shot perfectly,half-half-half,half-half-half,2,F,1872,NA
304,English,tan,midnight,lavender,No player hit some of his shots,half-half-half,half-half-half,5,F,3505,NA
