workerid,Answer.language,player1color,player2color,player3color,sentence,condition,conditionOrder,trialnum,response,rt,trainingCorrect
A4HIC25OBOQ0C,English,tan,lightorange,royalblue,Someone did better than Player C,half-all-all,half-all-all,24,1,6788,NA
A4HIC25OBOQ0C,English,lightorange,royalblue,darkorange,Someone did better than Player B,half-half-half,half-half-half,25,1,4051,NA
A4HIC25OBOQ0C,English,yellow,wheat,darkorange,We have a clear winner,none-none-half,half-none-none,26,7,5519,NA
A4HIC25OBOQ0C,English,yellow,wheat,darkorange,Exactly one player hit none of his shots,none-half-half,half-none-half,27,7,3487,NA
A4HIC25OBOQ0C,English,royalblue,grey,darkorange,Most of the players missed shots,none-half-all,half-none-all,20,7,7999,NA
A4HIC25OBOQ0C,English,yellow,wheat,seafoam,Player B shot perfectly,all-all-all,all-all-all,21,7,5155,NA
A4HIC25OBOQ0C,English,brown,grey,lightorange,Every player hit some of his shots,none-none-none,none-none-none,22,1,4282,NA
A4HIC25OBOQ0C,English,seafoam,lavender,lightblue,No player hit none of his shots,none-none-none,none-none-none,23,4,23386,NA
A4HIC25OBOQ0C,English,midnight,darkorange,royalblue,Player A made no shots,none-half-all,half-none-all,28,1,3363,NA
A4HIC25OBOQ0C,English,lightorange,brown,pink,All the players are tied,none-half-all,none-all-half,1,1,26924,NA
A4HIC25OBOQ0C,English,grey,tan,darkorange,Every player hit none of his shots,none-none-none,none-none-none,0,7,7570,NA
A4HIC25OBOQ0C,English,tan,lightblue,midnight,We have a clear loser,all-all-all,all-all-all,3,1,5348,NA
A4HIC25OBOQ0C,English,lightblue,grey,darkorange,Player C shot perfectly,half-half-all,half-all-half,2,1,9671,NA
A4HIC25OBOQ0C,English,lavender,yellow,darkorange,Every player hit all of his shots,half-half-half,half-half-half,5,1,4228,NA
A4HIC25OBOQ0C,English,lavender,tan,seafoam,Player A tied with Player B,all-all-all,all-all-all,4,7,10950,NA
A4HIC25OBOQ0C,English,tan,pink,darkorange,Player A placed second,none-none-all,all-none-none,7,1,6100,NA
A4HIC25OBOQ0C,English,darkorange,pink,midnight,Player A tied with Player C,none-none-half,none-half-none,6,7,4698,NA
A4HIC25OBOQ0C,English,seafoam,midnight,purple,Exactly one player hit all of his shots,all-all-all,all-all-all,9,1,3923,NA
A4HIC25OBOQ0C,English,brown,seafoam,yellow,Player B placed second,all-all-all,all-all-all,8,1,10483,NA
A4HIC25OBOQ0C,English,purple,seafoam,darkorange,No player hit all of his shots,half-all-all,all-all-half,11,1,4943,NA
A4HIC25OBOQ0C,English,yellow,lightblue,seafoam,Player B tied with Player C,none-none-none,none-none-none,10,4,13403,NA
A4HIC25OBOQ0C,English,lavender,tan,wheat,No player hit some of his shots,none-none-none,none-none-none,13,7,5995,NA
A4HIC25OBOQ0C,English,lightorange,wheat,seafoam,Player B made no shots,none-none-all,all-none-none,12,7,4768,NA
A4HIC25OBOQ0C,English,midnight,pink,purple,Player A shot perfectly,none-none-half,none-none-half,15,1,3670,NA
A4HIC25OBOQ0C,English,seafoam,tan,purple,Player C placed second,none-none-none,none-none-none,14,2,4927,NA
A4HIC25OBOQ0C,English,seafoam,tan,brown,Player C made no shots,half-all-all,all-half-all,17,1,3619,NA
A4HIC25OBOQ0C,English,lightblue,seafoam,grey,Most of the players made shots,half-half-half,half-half-half,16,5,8843,NA
A4HIC25OBOQ0C,English,pink,midnight,wheat,Exactly one player hit some of his shots,none-half-half,half-half-none,19,1,4663,NA
A4HIC25OBOQ0C,English,wheat,brown,tan,Someone did better than Player A,half-half-half,half-half-half,18,1,5628,NA
A4HIC25OBOQ0C,English,wheat,yellow,purple,Player A was the star player of the round,most-none-all,most-none-all,-1,1,12404,yes
A4HIC25OBOQ0C,English,yellow,tan,brown,Player A made none of his baskets,all-none-few,all-none-few,-3,1,17269,yes
A4HIC25OBOQ0C,English,purple,grey,tan,Player C messed up,all-all-none,all-all-none,-2,7,8706,yes
A2MMXYQKPUV5U7,english,tan,royalblue,grey,Someone did better than Player C,none-none-half,half-none-none,24,7,2409,NA
A2MMXYQKPUV5U7,english,lightblue,wheat,lightorange,All the players are tied,half-half-all,all-half-half,25,1,2221,NA
A2MMXYQKPUV5U7,english,lightblue,royalblue,brown,We have a clear loser,none-none-none,none-none-none,26,1,2487,NA
A2MMXYQKPUV5U7,english,yellow,darkorange,pink,Player A placed second,none-all-all,all-none-all,27,1,2731,NA
A2MMXYQKPUV5U7,english,wheat,midnight,darkorange,Player B tied with Player C,none-half-all,half-none-all,20,1,3197,NA
A2MMXYQKPUV5U7,english,pink,seafoam,lavender,Someone did better than Player B,none-half-half,half-half-none,21,1,3995,NA
A2MMXYQKPUV5U7,english,wheat,seafoam,lightorange,Exactly one player hit some of his shots,none-none-half,none-half-none,22,7,3320,NA
A2MMXYQKPUV5U7,english,pink,midnight,brown,Player A shot perfectly,half-all-all,all-half-all,23,7,2757,NA
A2MMXYQKPUV5U7,english,tan,midnight,lightblue,Most of the players made shots,none-none-half,none-half-none,28,1,4462,NA
A2MMXYQKPUV5U7,english,purple,midnight,yellow,No player hit none of his shots,none-half-half,half-half-none,1,1,4756,NA
A2MMXYQKPUV5U7,english,grey,yellow,lightorange,Every player hit none of his shots,half-all-all,all-half-all,0,1,4271,NA
A2MMXYQKPUV5U7,english,seafoam,midnight,yellow,Exactly one player hit all of his shots,half-half-all,half-all-half,3,7,3929,NA
A2MMXYQKPUV5U7,english,purple,lightblue,royalblue,No player hit some of his shots,half-all-all,all-half-all,2,1,5355,NA
A2MMXYQKPUV5U7,english,yellow,seafoam,midnight,No player hit all of his shots,none-none-none,none-none-none,5,7,3325,NA
A2MMXYQKPUV5U7,english,purple,lightorange,yellow,Player A made no shots,none-all-all,all-none-all,4,1,2805,NA
A2MMXYQKPUV5U7,english,seafoam,lightorange,grey,Someone did better than Player A,none-all-all,all-none-all,7,1,4623,NA
A2MMXYQKPUV5U7,english,yellow,lightblue,purple,Most of the players missed shots,none-none-half,half-none-none,6,7,3602,NA
A2MMXYQKPUV5U7,english,purple,royalblue,pink,Player C placed second,none-half-half,half-none-half,9,4,7670,NA
A2MMXYQKPUV5U7,english,grey,pink,yellow,Player A tied with Player B,none-all-all,all-none-all,8,1,2866,NA
A2MMXYQKPUV5U7,english,midnight,darkorange,pink,Player B placed second,half-all-all,all-all-half,11,3,5788,NA
A2MMXYQKPUV5U7,english,lightblue,midnight,yellow,We have a clear winner,none-none-none,none-none-none,10,1,3556,NA
A2MMXYQKPUV5U7,english,wheat,tan,royalblue,Exactly one player hit none of his shots,all-all-all,all-all-all,13,1,3829,NA
A2MMXYQKPUV5U7,english,yellow,pink,purple,Player C shot perfectly,none-none-none,none-none-none,12,1,3319,NA
A2MMXYQKPUV5U7,english,royalblue,lightorange,seafoam,Player B made no shots,none-none-none,none-none-none,15,7,2100,NA
A2MMXYQKPUV5U7,english,brown,seafoam,pink,Player C made no shots,none-half-all,half-all-none,14,7,2830,NA
A2MMXYQKPUV5U7,english,tan,lightorange,royalblue,Every player hit all of his shots,half-half-half,half-half-half,17,1,2750,NA
A2MMXYQKPUV5U7,english,darkorange,wheat,yellow,Every player hit some of his shots,none-half-half,half-half-none,16,1,2978,NA
A2MMXYQKPUV5U7,english,pink,seafoam,royalblue,Player B shot perfectly,none-half-half,none-half-half,19,1,2514,NA
A2MMXYQKPUV5U7,english,brown,darkorange,royalblue,Player A tied with Player C,half-half-all,half-half-all,18,1,3212,NA
A2MMXYQKPUV5U7,english,royalblue,purple,brown,Player A was the star player of the round,most-none-all,most-none-all,-1,1,8114,yes
A2MMXYQKPUV5U7,english,pink,grey,yellow,Player A made none of his baskets,all-none-few,all-none-few,-3,1,11756,yes
A2MMXYQKPUV5U7,english,royalblue,seafoam,purple,Player C messed up,all-all-none,all-all-none,-2,7,4821,yes
AW0225ONUAPO5,English,grey,lightorange,midnight,Player C placed second,none-none-half,none-half-none,24,6,2236,NA
AW0225ONUAPO5,English,darkorange,royalblue,yellow,Every player hit none of his shots,none-all-all,all-none-all,25,2,1578,NA
AW0225ONUAPO5,English,pink,royalblue,darkorange,Player A tied with Player B,none-none-none,none-none-none,26,5,2085,NA
AW0225ONUAPO5,English,pink,lightorange,royalblue,Most of the players made shots,none-none-half,half-none-none,27,2,2396,NA
AW0225ONUAPO5,English,lightblue,yellow,seafoam,No player hit all of his shots,half-half-half,half-half-half,20,5,1724,NA
AW0225ONUAPO5,English,wheat,brown,midnight,Player B shot perfectly,none-none-half,none-half-none,21,3,1316,NA
AW0225ONUAPO5,English,lavender,seafoam,royalblue,Player B made no shots,none-none-all,all-none-none,22,2,3172,NA
AW0225ONUAPO5,English,lightblue,tan,midnight,Player B placed second,none-none-all,none-none-all,23,6,3484,NA
AW0225ONUAPO5,English,darkorange,royalblue,lightblue,Player A shot perfectly,none-none-none,none-none-none,28,6,3339,NA
