sentence,condition,truth.chris,truth.dan,trial.type
No player hit <b>NONE</b> of his shots,NNN,0,0,target
No player hit <b>NONE</b> of his shots,NNS,0,0,target
No player hit <b>NONE</b> of his shots,NNA,0,0,target
No player hit <b>NONE</b> of his shots,NSS,0,0,target
No player hit <b>NONE</b> of his shots,NSA,0,0,target
No player hit <b>NONE</b> of his shots,NAA,0,0,target
No player hit <b>NONE</b> of his shots,SSS,1,1,target
No player hit <b>NONE</b> of his shots,SSA,1,1,target
No player hit <b>NONE</b> of his shots,SAA,1,1,target
No player hit <b>NONE</b> of his shots,AAA,1,1,target
No player hit <b>SOME</b> of his shots,NNN,1,1,target
No player hit <b>SOME</b> of his shots,NNS,0,0,target
No player hit <b>SOME</b> of his shots,NNA,0,0,target
No player hit <b>SOME</b> of his shots,NSS,0,0,target
No player hit <b>SOME</b> of his shots,NSA,0,0,target
No player hit <b>SOME</b> of his shots,NAA,0,0,target
No player hit <b>SOME</b> of his shots,SSS,0,0,target
No player hit <b>SOME</b> of his shots,SSA,0,0,target
No player hit <b>SOME</b> of his shots,SAA,0,0,target
No player hit <b>SOME</b> of his shots,AAA,0,0,target
No player hit <b>ALL</b> of his shots,NNN,1,1,target
No player hit <b>ALL</b> of his shots,NNS,1,1,target
No player hit <b>ALL</b> of his shots,NNA,0,0,target
No player hit <b>ALL</b> of his shots,NSS,1,1,target
No player hit <b>ALL</b> of his shots,NSA,0,0,target
No player hit <b>ALL</b> of his shots,NAA,0,0,target
No player hit <b>ALL</b> of his shots,SSS,1,1,target
No player hit <b>ALL</b> of his shots,SSA,0,0,target
No player hit <b>ALL</b> of his shots,SAA,0,0,target
No player hit <b>ALL</b> of his shots,AAA,0,0,target
Exactly one player hit <b>NONE</b> of his shots,NNN,0,0,target
Exactly one player hit <b>NONE</b> of his shots,NNS,0,0,target
Exactly one player hit <b>NONE</b> of his shots,NNA,0,0,target
Exactly one player hit <b>NONE</b> of his shots,NSS,1,1,target
Exactly one player hit <b>NONE</b> of his shots,NSA,1,1,target
Exactly one player hit <b>NONE</b> of his shots,NAA,1,1,target
Exactly one player hit <b>NONE</b> of his shots,SSS,0,0,target
Exactly one player hit <b>NONE</b> of his shots,SSA,0,0,target
Exactly one player hit <b>NONE</b> of his shots,SAA,0,0,target
