Sentence,Left,Right,Relation,Source
Get a plastic pop bottle and punch holes on either side so a stick or twig can go all the way through.,stick,twig,>,NYT_ENG_20020414.0071
"``An optometrist or ophthalmologist giving eye exams to children is a good thing,'' said Sen. Austin Allran, a Catawba Republican.",optometrist,ophthalmologist,>,NYT_ENG_20060623.0051
"``As an actor or performer, you are always worried about what the next job's going to be,'' Hensley says.",actor,performer,<,NYT_ENG_20020308.0303
"``Even FEMA people say they 've never seen a situation like this where a county or parish is so completely obliterated that we don't even have a safe base of operation to start a recovery,'' said Gary Huettmann, the parish's economic development director, who is working at a borrowed desk in a building across the street from the state Capitol.",county,parish,>,NYT_ENG_20051021.0200
"``He 'd find a university or college that would employ somebody past 70 and start building on his record,'' said Dan Issel, Rupp's last All-American.",university,college,<,NYT_ENG_19970312.0748
"``Heroic is not a word one uses often without embarrassment to describe a writer or playwright, but the diligence and ferocity of effort behind the creation of his body of work is really an epic story.",writer,playwright,>,NYT_ENG_20051002.0284
"``If your task is a worker in a plant or facility, be a better worker,'' Ridge urged Americans Tuesday, at a press conference here to support the president's war on terrorism.",plant,facility,<,NYT_ENG_20010921.0151
"``No person shall play ball or any game of sport with a ball or football or throw, cast, shoot or discharge any stone, pellet, bullet, arrow or any other missile, in, over, across, along or upon any street or sidewalk or in any public park, except on those portions of said park set apart for such purposes,'' section 56.16 of the municipal code states.",ball,football,>,NYT_ENG_20060728.0238
"``The investigator misled our representative into confirming information the Navy already possessed about Senior Chief McVeigh, both by failing to disclose his identity and purpose and by portraying himself as a friend or acquaintance of Senior Chief McVeigh's,'' America Online said.",friend,acquaintance,<,NYT_ENG_19980121.0961
"``The investigator must recognize that in some situations management may have failed to comply with a duty or responsibility, which may result in clear liability on the part of the company,'' the manual states.",duty,responsibility,<,NYT_ENG_20040710.0073
"``There's never been any evidence to suggest or support a theft or diversion of these segments,'' Lewis said.",theft,diversion,<,NYT_ENG_20041229.0026
``They sat down last season and decided they wouldn't let it be a distraction or problem for the team.,distraction,problem,<,NYT_ENG_19990902.0033
``We 're always asking ourselves if a flower or plant will make it in our gardens.'',flower,plant,<,NYT_ENG_19990225.0219
"``You 're encouraging readers to map your fiction onto the real world in a specific way, while not writing a history or memoir.",history,memoir,>,NYT_ENG_20060711.0092
"``You don't know who is going to start a conflict or riot,'' said Taylor, who attends the University of Texas at Arlington.",conflict,riot,>,NYT_ENG_20021118.0177
A debenture trader at New Japan Securities Co. said there hasn't been a bid or offer on Nippon Credit's most-recently sold five-year debentures in almost two months.,bid,offer,<,NYT_ENG_19970321.0066
A motion to alter or amend a judgment shall be filed no later than ten days after the entry of the judgment.,alter,amend,>,Web
"A space heater placed in front of an open vanity might thaw pipes under a sink, but never use a torch or flame to try to melt an ice clog.",torch,flame,<,NYT_ENG_19991123.0061
"A university partnership that would link Dwight Morrow's curriculum with that of a college or university, enabling students to obtain college credits.",college,university,>,NYT_ENG_19980113.0910
"About 49 percent said they frequently act as a friend or companion to their grandchildren, and a third said they normally assume the role of adviser and confidant.",friend,companion,<,NYT_ENG_20000105.0176
"Additionally, if you want to accompany the finished ribs with a marinade or sauce, be sure it has never come in contact with the raw meat.",marinade,sauce,<,NYT_ENG_19990701.0152
"Additionally, the anxiety or worry is not about having a Panic Attack,",anxiety,worry,<,Web
"After the loss of the animal or pet, there are further coping strategies available for the grieving individual",animal,pet,>,Web
"Also, a softening or decline in housing prices will make it harder for homeowners to take cash out of their houses.",softening,decline,<,NYT_ENG_20060422.0132
"Alternatively, take a piece of the molding to a millworker or woodworker who can make a set of knives to duplicate your molding.",millworker,woodworker,<,NYT_ENG_20021017.0139
"Although the first table of the Decalogue is a good way to run a synagogue or church, it is a bad way to run a pluralistic democracy.",synagogue,church,<,NYT_ENG_19970414.0211
An ongoing question in artificial intelligence is whether or not a computer or machine can think.,computer,machine,<,Web
And 19 percent of employees reported they had dated a boss or supervisor.,boss,supervisor,<,NYT_ENG_20050715.0103
"And while there are dozens of professional jazz big bands working around the country, they have fewer opportunities to record and play than a trio or combo because, with more musicians to pay, they are more expensive to book and transport.",trio,combo,<,NYT_ENG_20050308.0132
